model_name,model_description,Model_group,Avg Accuracy,Min Accuracy,Max Accuracy,Avg % Return,% Negative Return,Min % Return,Max % Return
Bet on Best Rank,Always bet on the player with the best rank,Dummy Strategy,0.59,0.55,0.61,-0.1,-0.16,-0.16,0.01
Bet on Best Rank,Always bet on the player with the best rank,Dummy Strategy,0.59,0.55,0.62,-0.06,-0.15,-0.15,0.01
