url,tournament_name,tournament_date,number_players,indoor_outdoor,surface,prize_money,unique_tournament_id
/en/tournaments/washington/418/overview,Washington,1990.07.16,56,Outdoor,Hard,"$550,000",washington//1990.07.16
/en/tournaments/stuttgart/321/overview,Stuttgart,1990.07.16,48,Outdoor,Clay,"$1,000,000",stuttgart//1990.07.16
/en/tournaments/toronto/421/overview,Toronto,1990.07.23,56,Outdoor,Hard,"$1,200,000",toronto//1990.07.23
/en/tournaments/hilversum/317/overview,Hilversum,1990.07.23,32,Outdoor,Clay,"$240,000",hilversum//1990.07.23
/en/tournaments/kitzbuhel/319/overview,Kitzbuhel,1990.07.30,48,Outdoor,Clay,"$375,000",kitzbuhel//1990.07.30
/en/tournaments/los-angeles/423/overview,Los Angeles,1990.07.30,32,Outdoor,Hard,"$250,000",los angeles//1990.07.30
/en/tournaments/san-remo/366/overview,San Remo,1990.07.30,32,Outdoor,Clay,"$250,000",san remo//1990.07.30
/en/tournaments/prague/379/overview,Prague,1990.08.06,32,Outdoor,Clay,"$176,000",prague//1990.08.06
/en/tournaments/cincinnati/422/overview,Cincinnati,1990.08.06,56,Outdoor,Hard,"$1,300,000",cincinnati//1990.08.06
/en/tournaments/new-haven/420/overview,New Haven,1990.08.13,56,Outdoor,Hard,"$1,000,000",new haven//1990.08.13
/en/tournaments/indianapolis/419/overview,Indianapolis,1990.08.13,56,Outdoor,Hard,"$1,000,000",indianapless//1990.08.13
/en/tournaments/long-island/441/overview,Long Island,1990.08.20,28,Outdoor,Hard,"$250,000",long island//1990.08.20
/en/tournaments/san-marino/475/overview,San Marino,1990.08.20,32,Outdoor,Clay,"$150,000",san marino//1990.08.20
/en/tournaments/schenectady/224/overview,Schenectady,1990.08.20,28,Outdoor,Hard,"$150,000",schenectady//1990.08.20
/en/tournaments/us-open/560/overview,New York,1990.08.27,128,Outdoor,Hard,"$2,554,250",new york//1990.08.27
/en/tournaments/bordeaux/323/overview,Bordeaux,1990.09.10,32,Outdoor,Clay,"$300,000",bordeaux//1990.09.10
/en/tournaments/geneva/322/overview,Geneva,1990.09.10,32,Outdoor,Clay,"$250,000",geneva//1990.09.10
/en/tournaments/basel/328/overview,Basel,1990.09.24,32,Indoor,Hard,"$500,000",basel//1990.09.24
/en/tournaments/palermo/325/overview,Palermo,1990.09.24,32,Outdoor,Clay,"$295,000",palermo//1990.09.24
/en/tournaments/brisbane/326/overview,Brisbane,1990.09.24,32,Outdoor,Hard,"$250,000",brisbane//1990.09.24
/en/tournaments/sydney/427/overview,Sydney,1990.10.01,48,Indoor,Hard,"$1,000,000",sydney//1990.10.01
/en/tournaments/toulouse/327/overview,Toulouse,1990.10.01,32,Indoor,Hard,"$300,000",toulouse//1990.10.01
/en/tournaments/athens/367/overview,Athens,1990.10.01,32,Outdoor,Clay,"$150,000",athens//1990.10.01
/en/tournaments/tokyo/428/overview,Tokyo,1990.10.08,48,Indoor,Carpet,"$1,000,000",tokyo//1990.10.08
/en/tournaments/berlin/348/overview,Berlin,1990.10.08,32,Indoor,Carpet,"$300,000",berlin//1990.10.08
/en/tournaments/tel-aviv/330/overview,Tel Aviv,1990.10.08,32,Outdoor,Hard,"$150,000",tel aviv//1990.10.08
/en/tournaments/lyon/7309/overview,Lyon,1990.10.15,32,Indoor,Carpet,"$500,000",lyon//1990.10.15
/en/tournaments/vienna/337/overview,Vienna,1990.10.15,32,Indoor,Carpet,"$250,000",vienna//1990.10.15
/en/tournaments/sao-paulo/237/overview,Sao Paulo,1990.10.22,32,Outdoor,Carpet,"$150,000",sao paulo//1990.10.22
/en/tournaments/stockholm/429/overview,Stockholm,1990.10.22,48,Indoor,Carpet,"$1,100,000",stockholm//1990.10.22
/en/tournaments/paris/352/overview,Paris,1990.10.29,48,Indoor,Carpet,"$2,000,000",paris//1990.10.29
/en/tournaments/moscow/438/overview,Moscow,1990.11.05,32,Indoor,Carpet,"$330,000",moscow//1990.11.05
/en/tournaments/wembley/430/overview,Wembley,1990.11.05,32,Indoor,Carpet,"$330,000",wembley//1990.11.05
/en/tournaments/itaparica/240/overview,Itaparica,1990.11.05,32,Outdoor,Hard,"$250,000",itaparica//1990.11.05
/en/tournaments/atp-tour-world-championship/605/overview,atp-tour-world-championship,1990.11.12,8,Indoor,Carpet,"$2,000,000",atp tour world championship//1990.11.12
/en/tournaments/munich/604/overview,"Munich, Germany",1990.12.11,16,Indoor,Carpet,"$6,000,000",munich//1990.12.11
/en/tournaments/wellington/354/overview,Wellington,1990.12.31,32,Outdoor,Hard,"$175,000",wellington//1990.12.31
/en/tournaments/adelaide/7308/overview,Adelaide,1990.12.31,32,Outdoor,Hard,"$175,000",adelaide//1990.12.31
