url,tournament_name,tournament_date,number_players,indoor_outdoor,surface,prize_money
/en/tournaments/palermo/325/overview,Palermo,1990.09.24,32,Outdoor,Clay,"$295,000"
/en/tournaments/brisbane/326/overview,Brisbane,1990.09.24,32,Outdoor,Hard,"$250,000"
/en/tournaments/sydney/427/overview,Sydney,1990.10.01,48,Indoor,Hard,"$1,000,000"
/en/tournaments/toulouse/327/overview,Toulouse,1990.10.01,32,Indoor,Hard,"$300,000"
/en/tournaments/athens/367/overview,Athens,1990.10.01,32,Outdoor,Clay,"$150,000"
/en/tournaments/tokyo/428/overview,Tokyo,1990.10.08,48,Indoor,Carpet,"$1,000,000"
/en/tournaments/berlin/348/overview,Berlin,1990.10.08,32,Indoor,Carpet,"$300,000"
/en/tournaments/tel-aviv/330/overview,Tel Aviv,1990.10.08,32,Outdoor,Hard,"$150,000"
/en/tournaments/lyon/7309/overview,Lyon,1990.10.15,32,Indoor,Carpet,"$500,000"
/en/tournaments/vienna/337/overview,Vienna,1990.10.15,32,Indoor,Carpet,"$250,000"
/en/tournaments/stockholm/429/overview,Stockholm,1990.10.22,48,Indoor,Carpet,"$1,100,000"
/en/tournaments/sao-paulo/237/overview,Sao Paulo,1990.10.22,32,Outdoor,Carpet,"$150,000"
/en/tournaments/paris/352/overview,Paris,1990.10.29,48,Indoor,Carpet,"$2,000,000"
/en/tournaments/moscow/438/overview,Moscow,1990.11.05,32,Indoor,Carpet,"$330,000"
/en/tournaments/wembley/430/overview,Wembley,1990.11.05,32,Indoor,Carpet,"$330,000"
/en/tournaments/itaparica/240/overview,Itaparica,1990.11.05,32,Outdoor,Hard,"$250,000"
/en/tournaments/atp-tour-world-championship/605/overview,,1990.11.12,8,Indoor,Carpet,"$2,000,000"
/en/tournaments/atp-tour-world-doubles-championship/602/overview,Sanctuary Cove,1990.11.19,0,Outdoor,Hard,"$1,000,000"
/en/tournaments/munich/604/overview,"Munich, Germany",1990.12.11,16,Indoor,Carpet,"$6,000,000"
/en/tournaments/adelaide/7308/overview,Adelaide,1990.12.31,32,Outdoor,Hard,"$175,000"
/en/tournaments/wellington/354/overview,Wellington,1990.12.31,32,Outdoor,Hard,"$175,000"
/en/tournaments/sydney/338/overview,Sydney,1991.01.07,32,Outdoor,Hard,"$250,000"
/en/tournaments/auckland/301/overview,Auckland,1991.01.07,32,Outdoor,Hard,"$175,000"
/en/tournaments/australian-open/580/overview,Melbourne,1991.01.14,128,Outdoor,Hard,
/en/tournaments/milan/408/overview,Milan,1991.02.04,32,Indoor,Carpet,"$600,000"
/en/tournaments/san-francisco/424/overview,San Francisco,1991.02.04,32,Indoor,Carpet,"$250,000"
/en/tournaments/guaruja/201/overview,Guaruja,1991.02.04,32,Outdoor,Hard,"$150,000"
/en/tournaments/philadelphia/401/overview,Philadelphia,1991.02.11,48,Indoor,Carpet,"$1,000,000"
/en/tournaments/brussels/406/overview,Brussels,1991.02.11,32,Indoor,Carpet,"$600,000"
/en/tournaments/stuttgart/357/overview,Stuttgart,1991.02.18,32,Indoor,Carpet,"$1,000,000"
/en/tournaments/memphis/402/overview,Memphis,1991.02.18,48,Indoor,Hard,"$750,000"
/en/tournaments/rotterdam/407/overview,Rotterdam,1991.02.25,32,Indoor,Carpet,"$500,000"
/en/tournaments/chicago/411/overview,Chicago,1991.02.25,32,Indoor,Carpet,"$250,000"
/en/tournaments/indian-wells/404/overview,Indian Wells,1991.03.04,56,Outdoor,Hard,"$1,000,000"
/en/tournaments/copenhagen/481/overview,Copenhagen,1991.03.04,32,Indoor,Carpet,"$150,000"
/en/tournaments/miami/403/overview,Miami,1991.03.15,96,Outdoor,Hard,"$1,500,000"
/en/tournaments/estoril/468/overview,Estoril,1991.04.01,32,Outdoor,Clay,"$375,000"
/en/tournaments/hong-kong/336/overview,Hong Kong,1991.04.01,32,Outdoor,Hard,"$260,000"
/en/tournaments/orlando/409/overview,Orlando,1991.04.01,32,Outdoor,Hard,"$250,000"
/en/tournaments/tokyo/329/overview,Tokyo,1991.04.08,56,Outdoor,Hard,"$1,000,000"
/en/tournaments/barcelona/425/overview,Barcelona,1991.04.08,56,Outdoor,Clay,"$650,000"
/en/tournaments/nice/6120/overview,Nice,1991.04.15,32,Outdoor,Clay,"$250,000"
/en/tournaments/seoul/434/overview,Seoul,1991.04.15,32,Outdoor,Hard,"$165,000"
